Nama;Waktu Ulasan;Ulasan
Yusuf Tetsuya;seminggu lalu;#JanganJera
Siti Aisah;8 bulan lalu;10/10 👍 …
VheRa Vherga;10 bulan lalu;A cozy place for working with your laptop or just hang out with friends. The staffs are so good-natured so don't hesitate to ask anything with them if you need help. The food is super delicious (I love the Chicken Katsu!) and so affordable …
Andrew Andrew;3 tahun lalu;"antar anak nemuin cs nya... anak muda banget ni tempat jadi sendirian om omnya 😁😁. rame bingit
#nasasampit …"
Grace;11 bulan lalu;Asyik tempat dan suasana nya keren dan Instagrameble 😍😀 pokoknya puas aja.....👌 Rekom buat nongki rame2,  couple atau srndirian …
sergeant chain;3 minggu lalu;Average, but their cireng taste good
Novia Fitriany;8 bulan lalu;Ayam katsunya
Meila Dianina;11 bulan lalu;Bagus aja
Hermon Karisma;2 tahun lalu;Baguss
Oni Chan;setahun lalu;Baik untuk menginap
hana shinjusa;4 bulan lalu;"Buat ngumpul-ngumpul oke, buat santai oke, harga oke, yang pasti Oke-oke lah.

Kalian harus coba, kalo udah cocok #janganjera kesana lagi."
Indri K. Bahar (Mede Inka);5 tahun lalu;Cafe nya ga begitu luas, tapi tempat nya cukup nyaman. Ada indoor dan outdoor nya. Outdoor ny kyk tema taman kecil gtu bnyk tumbuhan ny. Menu makan dan minuman harga nya standar, nasi ayam kalasan dan chicken katsu nya enak, rekomended 2 menu itu. Selalu ramai di hari weekend. Termasuk cafe yg rekomen di kota Palangkaraya.
joe youtube;setahun lalu;Cafe outdoor lumayan rame juga
Dessy Diani.S;4 tahun lalu;Caramel lattenya fav enak, the green tea is cheap tho, the employees are friendly too
Luvvi;2 tahun lalu;Coffee shop recommended dekat pusat kota
Frily latuconsina;2 bulan lalu;Cucok tempatnya, pas didompet
nm desktop;4 tahun lalu;Cukup baik
Vita Pratiwi YEP;setahun lalu;Dari segi tempat sangat menarik bisa outdoor dan indoor nyaman serta tersedia tempat yg bisa di reservasi 👍, di dalam sejuk lengkap dengan hiasan yg unik dan di sertai tv nicee harga terjangkau 👍👍✨ …
Saniah Elshanty;4 bulan lalu;Enak banget buat nongkrong orang tua dan muda, sangat cozy
Melly Deslina;2 tahun lalu;Enak banget dan Santuy
Elisa;2 tahun lalu;Enak dan harga sesuai kantong
Chairun Novita;11 bulan lalu;Enak sekali
Anis Yasmine;setahun lalu;enak tempatnya, makanan juga enak
Eka Mailina;3 tahun lalu;Enak untuk bersantai
Annisa Ambariani;3 tahun lalu;Good
Rizqy Arafat;5 tahun lalu;"Good place to hang out with family and friends.
They have Indoor and Outdoor Place.
Plenty of parking lot here"
subly 21;setahun lalu;Good service
Be Yours;5 tahun lalu;Great ambience, good coffee
Tomy Hendra;3 tahun lalu;Hot plate nya enakkk dan murah. Cm untuk minuman nya kurang bgt rasanya
Riani Anggun;setahun lalu;I love this place
Ririn Triatma;setahun lalu;Ingin pesan bersama pasangan disini, room 3atas
Fia Zakia;2 tahun lalu;It’s so hard to find a good single origin coffee in Palangkaraya, fortunately found this coffeeshop. I didn’t know what kind of beans they use, i only requested the most sour one.
Anastasyia Setia Widarta;5 tahun lalu;Kafe yang bagus
Jessica Nanyan;3 tahun lalu;Keren
Agnescia Sera;2 tahun lalu;kopinya muantepp
Bang Don;3 tahun lalu;"Kopinya yaàaaa....lumayanlah
Tempatnya jg lumayan"
